...1,Year,export,total,share,type
1,2002,36566173.968,155015925.521,0.23588656355857,China
2,2003,45757113.723,188711614.681,0.242471104920321,China
3,2004,54783424.767,219791835.373,0.249251409516779,China
4,2005,65901602.425,236568754.401,0.278572724415213,China
5,2006,88620748.453,268416727.087,0.330161050001463,China
6,2007,108881109.237,306386683.9,0.355371545039265,China
7,2008,113367593.373,323818362.89,0.350096246430319,China
8,2009,100479289.46,282782839.142,0.355323151025951,China
9,2010,121072411.309,318835904.976,0.379732675710139,China
10,2011,143238434.621,378046416.747,0.378891131553455,China
11,2012,148269584.588,375628843.337,0.394723640684265,China
12,2013,165044600.792,410442853.995,0.402113471304365,China
13,2014,173436845.851,437654939.386,0.396286732406859,China
14,2015,162226189.541,413547559.493,0.392279402494566,China
15,2016,146478293.068,404414593.986,0.362198336178419,China
16,2017,145232260.515,436096539.473,0.333027775662943,China
17,2018,144973533.649,451124246.711,0.321360544696843,China
18,2002,4065024.537,155015925.521,0.0262232704371353,LDCs
19,2003,5353943.027,188711614.681,0.0283710307712133,LDCs
20,2004,6319059.026,219791835.373,0.0287501990930472,LDCs
21,2005,6909101.154,236568754.401,0.0292054678627956,LDCs
22,2006,8305094.265,268416727.087,0.0309410458697238,LDCs
23,2007,9374261.428,306386683.9,0.0305961777081005,LDCs
24,2008,11997968.123,323818362.89,0.0370515372133966,LDCs
25,2009,12409338.259,282782839.142,0.04388292548675,LDCs
26,2010,15310490.294,318835904.976,0.0480199690657565,LDCs
27,2011,20240897.418,378046416.747,0.0535407730938654,LDCs
28,2012,20618787.704,375628843.337,0.0548913856583202,LDCs
29,2013,21013705.466,410442853.995,0.0511976399673315,LDCs
30,2014,26919261.321,437654939.386,0.0615079572934008,LDCs
31,2015,27717494.684,413547559.493,0.0670237172188394,LDCs
32,2016,29877881.167,404414593.986,0.0738793347503041,LDCs
33,2017,33637403.588,436096539.473,0.0771329293936821,LDCs
34,2018,38263057.174,451124246.711,0.0848171151361593,LDCs
