specification,fes,var3
1,market clustering,1
2,market clustering,1
3,market clustering,1
4,market clustering,1
5,market clustering,1
6,market clustering,1
7,market clustering,1
8,market-HS2 clustering,2
9,market-HS2-year clustering,3
6,PPML,4
7,GSP only,5
2,firm fe,6
3,firm-year fe,7
4,firm-prod-year fe,8
5,firm-prod-year fe,8
6,firm-prod-year fe,8
7,firm-prod-year fe,8
8,firm-prod-year fe,8
9,firm-prod-year fe,8
4,firm-prod-eu fe,9
4,firm-market-year fe,10
5,firm-market-year fe,10
5,firm-prod-market fe,11
6,firm-prod-dest fe,9
7,firm-prod-dest fe,9
8,firm-prod-dest fe,9
9,firm-prod-dest fe,9
6,market-year fe,12
7,market-year fe,12
8,market-year fe,12
9,market-year fe,12
