year,woven,gsp_value,value,frac
2001,0,1142664779,1467776230,0.7785006703644465
2001,1,258313325,1313609114,0.19664398050149337
2002,0,1236065845,1507737072,0.8198152502547208
2002,1,287486210,1185888120,0.24242270847607444
2003,0,1379189254,1737807617,0.7936374777669075
2003,1,298998928,1312410538,0.22782423589469836
2004,0,1757352220,2175640388,0.8077402082131231
2004,1,370761720,1518603128,0.2441465536083105
2005,0,1869587233,2197946692,0.8506062680249936
2005,1,375456837,1334787872,0.2812857719762081
2006,0,2522399108,2917468177,0.8645849603040932
2006,1,597834586,1696452825,0.35240271771188214
2007,0,2526330464,2894369207,0.8728431942580434
2007,1,554160392,1489510326,0.3720419941553329
2008,0,3015132329,3213777820,0.938189413790901
2008,1,600917177,1504574267,0.39939349633978555
2009,0,3286526016,3449888366,0.9526470619716279
2009,1,713049371,1683511290,0.4235489094937997
2010,0,4055693984,4263197269,0.9513268394805776
2010,1,873535808,1929163118,0.45280557141565675
2011,0,5071769027,5268057020,0.9627399642306833
2011,1,2438934289,2686506638,0.907845993939435
2012,0,5175624767,5288258582,0.9787011521366638
2012,1,3290819032,3367285938,0.977291234719016
2013,0,5588248479,5714454753,0.9779145553766536
2013,1,3719211998,3801371889,0.9783867789316416
2014,0,6380164643,6604568687,0.9660229070761726
2014,1,4236993903,4454847821,0.951097337832048
2015,0,7865005108,8148132667,0.9652524608310971
2015,1,5480561158,5699142188,0.961646678958065
2016,0,8301179416,8678943263,0.9564735203869255
2016,1,6012701996,6286750643,0.9564085387567995
2017,0,8586726766,8854098240,0.969802517799938
2017,1,6139434333,6350411865,0.9667773466532473
2018,0,9093290164,9360554672,0.9714477915716403
2018,1,6486149939,6714386504,0.9660078303707968
